date,time,tempC,tempF,windspeedMiles,windspeedKmph,winddirdegree,winddir16point,weatherCode,weatherIconUrl,weatherDesc,precipMM,precipInches,humidity,visibilityKm,visibilityMiles,pressureMB,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,chanceofrain,chanceofremdry,chanceofwindy,chanceofovercast,chanceofsunshine,chanceoffrost,chanceofhightemp,chanceoffog,chanceofsnow,chanceofthunder
2024-11-04,1000,2,35,0,1,40,NE,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,96,2,1,1016,30,100,2,35,1,33,-2,28,1,1,-2,28,0,87,0,82,6,15,0,0,0,0
2024-11-04,1100,3,37,4,6,226,SW,338,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0020_cloudy_with_heavy_snow.png,Heavy snow,7.4,0.3,95,2,1,1014,30,100,3,37,1,34,-2,29,6,10,-2,29,100,0,0,82,0,15,0,0,100,0
2024-11-04,1200,3,38,12,19,261,W,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,95,9,5,1012,30,100,3,38,3,37,-2,29,19,31,-2,29,0,81,0,88,19,0,0,0,0,0
2024-11-04,1300,3,38,18,30,257,WSW,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,95,10,6,1011,30,100,3,38,3,38,-2,28,29,47,-2,28,0,93,0,93,14,0,0,0,0,0
2024-11-04,1400,3,37,21,33,256,WSW,320,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0019_cloudy_with_light_snow.png,Moderate or heavy sleet,5.2,0.2,95,7,4,1011,30,100,3,37,3,37,-3,27,32,51,-3,27,100,0,0,83,0,0,0,0,0,0
2024-11-04,1500,2,36,20,33,263,W,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,95,0,0,1013,30,100,2,36,2,35,-3,26,30,49,-3,26,0,89,0,82,16,0,0,0,0,0
2024-11-04,1600,2,36,21,35,262,W,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,96,0,0,1014,30,100,2,36,1,35,-4,25,33,52,-4,25,0,83,0,93,17,0,0,0,0,0
2024-11-04,1700,1,35,20,32,266,W,227,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0035_cloudy_with_light_snow_night.png,Blowing snow,7.4,0.3,97,0,0,1015,30,100,1,35,1,34,-5,24,30,48,-5,24,100,0,0,94,0,0,0,0,0,0
2024-11-04,1800,1,34,18,29,263,W,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,96,0,0,1016,30,100,1,34,0,33,-5,23,27,43,-5,23,0,80,0,87,9,10,0,0,0,0
2024-11-04,1900,1,34,18,29,263,W,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,96,0,0,1017,30,100,1,34,0,33,-5,22,27,43,-5,22,0,91,0,86,18,10,0,0,0,0
2024-11-04,2000,1,33,16,26,262,W,227,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0035_cloudy_with_light_snow_night.png,Blowing snow,4.9,0.2,96,7,4,1018,30,100,1,33,0,32,-6,22,24,38,-6,22,100,0,0,91,0,15,0,0,93,0
2024-11-04,2100,0,33,15,23,261,W,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,97,7,4,1019,30,100,0,33,-0,32,-6,21,21,34,-6,21,0,90,0,87,14,15,0,0,0,0
2024-11-04,2200,0,32,15,24,262,W,122,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png,Overcast ,0.0,0.0,96,7,4,1019,30,100,0,32,-0,31,-6,20,22,35,-6,20,0,82,0,88,13,15,0,0,0,0
2024-11-04,2300,-0,32,15,24,262,W,227,https://cdn.worldweatheronline.com/images/wsymbols01_png_64/wsymbol_0035_cloudy_with_light_snow_night.png,Blowing snow,4.5,0.2,96,7,4,1019,30,100,-0,32,-1,31,-7,20,22,35,-7,20,100,0,0,83,0,15,0,0,92,0
